transcript.id	blastn.besthit
TRINITY_DN612741_c0_g1_i1	Faecalibacterium sp.
TRINITY_DN612198_c2_g1_i1	Myoviridae sp.
TRINITY_DN615414_c0_g1_i1	Myoviridae sp.
TRINITY_DN142511_c2_g2_i11	Bacteroides thetaiotaomicron
TRINITY_DN142526_c5_g1_i7	Romboutsia ilealis
TRINITY_DN127733_c0_g2_i2	Uncultured bacterium clone
TRINITY_DN143036_c3_g1_i1	Faecalibacterium prausnitzii
TRINITY_DN143096_c2_g1_i1	Phocaeicola dorei
TRINITY_DN143169_c2_g1_i6	Siphoviridae sp.
TRINITY_DN143156_c8_g1_i3	Faecalibacterium sp.
TRINITY_DN135554_c0_g1_i3	Faecalibacterium prausnitzii
TRINITY_DN135543_c0_g2_i1	Faecalibacterium prausnitzii
TRINITY_DN144897_c3_g1_i5	Faecalibacterium prausnitzii
TRINITY_DN144878_c1_g1_i1	Faecalibacterium prausnitzii
TRINITY_DN142590_c2_g1_i1	Faecalibacterium prausnitzii
TRINITY_DN142562_c4_g9_i3	Ruminococcus bicirculans
TRINITY_DN136312_c3_g1_i18	Faecalibacterium prausnitzii
TRINITY_DN133479_c0_g1_i1	Phocaeicola vulgatus
TRINITY_DN145551_c2_g2_i1	Faecalibacterium prausnitzii
TRINITY_DN145601_c1_g1_i10	Faecalibacterium prausnitzii
TRINITY_DN145575_c0_g1_i3	Faecalibacterium prausnitzii
TRINITY_DN145595_c1_g1_i27	Faecalibacterium prausnitzii
TRINITY_DN145548_c0_g2_i1	Faecalibacterium prausnitzii
TRINITY_DN145548_c1_g1_i5	Faecalibacterium sp.
TRINITY_DN145062_c3_g1_i3	Uncultured human fecal virus clone
TRINITY_DN145055_c3_g1_i3	Uncultured human fecal virus clone
TRINITY_DN145050_c1_g1_i3	Faecalibacterium prausnitzii
TRINITY_DN133942_c0_g1_i2	Bifidobacterium pseudocatenulatum
TRINITY_DN140586_c3_g1_i1	Dorea longicatena
TRINITY_DN142922_c7_g5_i2	Bacteroides xylanisolvens
TRINITY_DN142862_c0_g1_i1	Faecalibacterium sp.
TRINITY_DN102902_c0_g1_i1	Eubacterium ventriosum
TRINITY_DN125192_c2_g1_i1	Parabacteroides merdae
TRINITY_DN140335_c3_g1_i1	uncultured Blautia sp.
TRINITY_DN144720_c1_g1_i6	Faecalibacterium prausnitzii
TRINITY_DN144653_c7_g8_i1	Blautia wexlerae
TRINITY_DN144690_c1_g2_i6	Faecalibacterium prausnitzii
TRINITY_DN144690_c1_g2_i9	Faecalibacterium sp.
TRINITY_DN144643_c3_g1_i1	Uncultured human fecal virus clone
TRINITY_DN144633_c0_g1_i1	Faecalibacterium sp.
TRINITY_DN144672_c0_g1_i1	Faecalibacterium prausnitzii
TRINITY_DN144673_c2_g1_i6	Bacteroides ovatus
TRINITY_DN145645_c0_g1_i6	Faecalibacterium duncaniae
TRINITY_DN145645_c0_g1_i14	Faecalibacterium duncaniae
TRINITY_DN145717_c0_g1_i3	Lachnospiraceae bacterium
TRINITY_DN145655_c4_g1_i2	Coprococcus comes
TRINITY_DN139720_c6_g2_i1	Romboutsia sp.
