genome	base	coverage
scaffold_11136	1	1
scaffold_11136	2	1
scaffold_11136	3	2
scaffold_11136	4	2
scaffold_11136	5	2
scaffold_11136	6	2
scaffold_11136	7	2
scaffold_11136	8	2
scaffold_11136	9	2
scaffold_11136	10	2
scaffold_11136	11	2
scaffold_11136	12	2
scaffold_11136	13	2
scaffold_11136	14	2
scaffold_11136	15	3
scaffold_11136	16	3
scaffold_11136	17	3
scaffold_11136	18	3
scaffold_11136	19	3
scaffold_11136	20	3
scaffold_11136	21	3
scaffold_11136	22	3
scaffold_11136	23	3
scaffold_11136	24	3
scaffold_11136	25	3
scaffold_11136	26	3
scaffold_11136	27	3
scaffold_11136	28	3
scaffold_11136	29	3
scaffold_11136	30	3
scaffold_11136	31	3
scaffold_11136	32	3
scaffold_11136	33	3
scaffold_11136	34	3
scaffold_11136	35	3
scaffold_11136	36	3
scaffold_11136	37	3
scaffold_11136	38	3
scaffold_11136	39	3
scaffold_11136	40	3
scaffold_11136	41	3
scaffold_11136	42	3
scaffold_11136	43	3
scaffold_11136	44	3
scaffold_11136	45	3
scaffold_11136	46	3
scaffold_11136	47	3
scaffold_11136	48	3
scaffold_11136	49	3
scaffold_11136	50	3
scaffold_11136	51	3
scaffold_11136	52	3
scaffold_11136	53	3
scaffold_11136	54	3
scaffold_11136	55	3
scaffold_11136	56	3
scaffold_11136	57	3
scaffold_11136	58	3
scaffold_11136	59	4
scaffold_11136	60	4
scaffold_11136	61	4
scaffold_11136	62	4
scaffold_11136	63	4
scaffold_11136	64	4
scaffold_11136	65	4
scaffold_11136	66	4
scaffold_11136	67	4
scaffold_11136	68	4
scaffold_11136	69	4
scaffold_11136	70	4
scaffold_11136	71	4
scaffold_11136	72	4
scaffold_11136	73	4
scaffold_11136	74	4
scaffold_11136	75	4
scaffold_11136	76	4
scaffold_11136	77	4
scaffold_11136	78	4
scaffold_11136	79	4
scaffold_11136	80	4
scaffold_11136	81	4
scaffold_11136	82	4
scaffold_11136	83	4
scaffold_11136	84	4
scaffold_11136	85	4
scaffold_11136	86	4
scaffold_11136	87	4
scaffold_11136	88	4
scaffold_11136	89	4
scaffold_11136	90	4
scaffold_11136	91	4
scaffold_11136	92	4
scaffold_11136	93	4
scaffold_11136	94	4
scaffold_11136	95	4
scaffold_11136	96	4
scaffold_11136	97	4
scaffold_11136	98	5
scaffold_11136	99	5
scaffold_11136	100	5
scaffold_11136	101	5
scaffold_11136	102	5
scaffold_11136	103	5
scaffold_11136	104	5
scaffold_11136	105	5
scaffold_11136	106	5
scaffold_11136	107	5
scaffold_11136	108	5
scaffold_11136	109	5
scaffold_11136	110	5
scaffold_11136	111	5
scaffold_11136	112	5
